Country,perH
Somalia,190.57,,,
S. Sudan,152.1,,,
Chad,134.1,,,
Nigeria,127.79,,,
Kenya,127.36,,,
Eritrea,115.68,,,
Central African Rep.,104,,,
Burundi,103.36,,,
Sierra Leone,99.98,,,
Angola,97.67,,,
Mali,96.68,,,
Comoros,94.09,,,
Niger ,89.68,,,
Burkina Faso ,89.19,,,
Malawi ,83.86,,,
Zambia ,79.02,,,
C̫te d'Ivoire ,78.97,,,
Tanzania ,78.62,,,
Mozambique ,77.87,,,
Ethiopia ,76.12,,,
Liberia ,71.13,,,
Lesotho ,68.59,,,
Benin ,68.07,,,
Guinea ,65.85,,,
Democratic Republic of the Congo ,61.01,,,
Djibouti ,60.99,,,
Togo ,59.71,,,
Cameroon ,58.89,,,
Guinea-Bissau ,57.58,,,
Uganda ,55.9,,,
Mauritania ,53.8,,,
New Guinea ,51.18,,,
Madagascar ,49.8,,,
Senegal ,49.72,,,
Swaziland ,45.71,,,
Rwanda ,40.67,,,
India ,40.22,,,
Gambia ,40.09,,,
Namibia ,38.02,,,
Indonesia ,36.76,,,
Nepal ,36.73,,,
Kiribati ,36.49,,,
Eq. Guinea ,36.44,,,
Zimbabwe ,36.06,,,
Republic of Congo ,31.21,,,
Botswana ,30.85,,,
South Africa ,29.47,,,
Pakistan ,28.2,,,
Ghana ,25.76,,,
Myanmar ,25.19,,,
Haiti ,25.09,,,
Gabon ,23.86,,,
Afghanistan ,22.93,,,
Laos ,22.48,,,
Sudan ,20.41,,,
Sao Tome ,19.99,,,
Bhutan ,19.9,,,
Timor-leste ,17.87,,,
Guatemala ,17.54,,,
Bangladesh ,16.57,,,
Cambodia ,13.18,,,
Guyana ,12.62,,,
Vanuatu ,11.59,,,
Honduras ,11.27,,,
Solomon Isl. ,10.48,,,
Yemen ,10.39,,,
Turkmenistan ,9.13,,,
Tajikistan ,9.04,,,
Philippines ,9.03,,,
Cape Verde ,8.68,,,
Fiji ,8.66,,,
Bolivia ,7.67,,,
Micronesia ,7.31,,,
Iraq ,5.35,,,
Nicaragua ,5.32,,,
Algeria ,5.22,,,
Paraguay ,4.85,,,
Viet Nam ,4.71,,,
Panama ,4.53,,,
Uzbekistan ,4.5,,,
El Salvador ,4.49,,,
Azerbaijan ,4.26,,,
Morocco ,4.2,,,
Venezuela ,4.18,,,
Tonga ,4.07,,,
Syria ,3.89,,,
Dominican Rep. ,3.8,,,
Belize ,3.66,,,
Thailand ,3.62,,,
Samoa ,3.57,,,
Peru ,3.56,,,
Egypt ,3.55,,,
North Korea ,3.42,,,
Saint Vincent ,3.15,,,
Suriname ,3.14,,,
Mexico ,3.08,,,
Canada ,3.05,,,
Maldives ,2.97,,,
Brunei ,2.96,,,
Brazil ,2.82,,,
Arab Emirates ,2.69,,,
Mauritius ,2.68,,,
Uruguay ,2.67,,,
Mongolia ,2.66,,,
Germany ,2.62,,,
Ecuador ,2.6,,,
Sri Lanka ,2.59,,,
Kyrgyzstan ,2.43,,,
Israel ,2.37,,,
Costa Rica ,2.3,,,
Saudi Arabia ,2.28,,,
Iran ,2.21,,,
Grenada ,2.15,,,
Tunisia ,2.15,,,
United States ,2.01,,,
Hungary ,1.95,,,
Cuba ,1.93,,,
Denmark ,1.91,,,
France ,1.88,,,
Kazakhstan ,1.8,,,
Colombia ,1.78,,,
Antigua/bar. ,1.77,,,
Cyprus ,1.77,,,
Chile ,1.74,,,
Trinidad/tob. ,1.65,,,
Libya ,1.63,,,
Netherlands ,1.61,,,
Norway ,1.55,,,
Seychelles ,1.51,,,
Saint Lucia ,1.51,,,
Belgium ,1.5,,,
Malaysia ,1.49,,,
Jordan ,1.47,,,
Oman ,1.44,,,
Barbados ,1.43,,,
Czech Republic ,1.27,,,
South Korea ,1.26,,,
United Kingdom ,1.23,,,
Argentina ,1.16,,,
Iceland ,1.15,,,
New Zealand ,1.15,,,
Sweden ,1.1,,,
Lebanon ,1.06,,,
Jamaica ,1.01,,,
Turkey ,0.87,,,
Bahamas ,0.82,,,
Switzerland ,0.82,,,
Japan ,0.81,,,
China ,0.8,,,
Portugal ,0.75,,,
Spain ,0.73,,,
Serbia ,0.67,,,
Singapore ,0.66,,,
Australia ,0.61,,,
Luxembourg ,0.61,,,
Romania ,0.6,,,
Kuwait ,0.52,,,
Ireland ,0.51,,,
Italy ,0.5,,,
Armenia ,0.5,,,
Bahrain ,0.47,,,
Austria ,0.45,,,
Albania ,0.43,,,
Croatia ,0.41,,,
Lithuania ,0.4,,,
Slovakia ,0.37,,,
Georgia ,0.37,,,
Ukraine ,0.35,,,
Bulgaria ,0.32,,,
Russia ,0.3,,,
Malta ,0.28,,,
Qatar ,0.25,,,
Finland ,0.22,,,
Moldova ,0.2,,,
Poland ,0.19,,,
Slovenia ,0.17,,,
Macedonia ,0.16,,,
Latvia ,0.13,,,
Belarus ,0.12,,,
Bosnia/herzeg. ,0.1,,,
Estonia ,0.08,,,
Greece ,0.07,,,
Montenegro ,0.04,,,
